study_id,study_label,grouping,time_h,conc_ngml,sd_ngml,n,dose_mg,prandial,is_control
16000,Lundahl 1997,10mg-PO ER tablet,0.0,0.0,,12,10.0,fasted,True
16000,Lundahl 1997,10mg-PO ER tablet,0.0,0.0,,12,10.0,fasted,True
16000,Lundahl 1997,10mg-PO ER tablet,0.5,0.4144,,12,10.0,fasted,True
16000,Lundahl 1997,10mg-PO ER tablet,1.0,1.3679,,12,10.0,fasted,True
16000,Lundahl 1997,10mg-PO ER tablet,1.5,1.7822,,12,10.0,fasted,True
16000,Lundahl 1997,10mg-PO ER tablet,2.0,1.934,,12,10.0,fasted,True
16000,Lundahl 1997,10mg-PO ER tablet,3.0,1.892,,12,10.0,fasted,True
16000,Lundahl 1997,10mg-PO ER tablet,4.0,1.8638,,12,10.0,fasted,True
16000,Lundahl 1997,10mg-PO ER tablet,5.0,2.1397,,12,10.0,fasted,True
16000,Lundahl 1997,10mg-PO ER tablet,6.0,1.9456,,12,10.0,fasted,True
16000,Lundahl 1997,10mg-PO ER tablet,7.0,1.7239,,12,10.0,fasted,True
16000,Lundahl 1997,10mg-PO ER tablet,8.0,1.4331,,12,10.0,fasted,True
16000,Lundahl 1997,10mg-PO ER tablet,10.0,0.962,,12,10.0,fasted,True
16000,Lundahl 1997,10mg-PO ER tablet,12.0,0.6845,,12,10.0,fasted,True
16000,Lundahl 1997,10mg-PO ER tablet,14.0,0.5037,,12,10.0,fasted,True
16000,Lundahl 1997,10mg-PO ER tablet,24.0,0.2632,,12,10.0,fasted,True
16002,Edgar 1987,10mg-PO solution,0.0,0.0,,12,10.0,unknown,True
16002,Edgar 1987,10mg-PO solution,0.318963149313713,5.1109,,12,10.0,unknown,True
16002,Edgar 1987,10mg-PO solution,0.629537371162885,8.5736,,12,10.0,unknown,True
16002,Edgar 1987,10mg-PO solution,1.0,7.8048,,12,10.0,unknown,True
16002,Edgar 1987,10mg-PO solution,1.5,6.0266,,12,10.0,unknown,True
16002,Edgar 1987,10mg-PO solution,2.0,4.767,,12,10.0,unknown,True
16002,Edgar 1987,10mg-PO solution,3.0,3.3588,,12,10.0,unknown,True
16002,Edgar 1987,10mg-PO solution,4.0,2.0802,,12,10.0,unknown,True
16002,Edgar 1987,10mg-PO solution,5.5,1.3106,,12,10.0,unknown,True
16002,Edgar 1987,10mg-PO solution,7.0,0.9946,,12,10.0,unknown,True
16002,Edgar 1987,10mg-PO solution,8.5,0.7157,,12,10.0,unknown,True
16002,Edgar 1987,10mg-PO solution,10.0,0.6127,,12,10.0,unknown,True
16002,Edgar 1987,10mg-PO solution,12.0,0.4908,,12,10.0,unknown,True
16003,Edgar 1987,10mg-PO IR tablet,0.0,0.0,,12,10.0,unknown,True
16003,Edgar 1987,10mg-PO IR tablet,0.25,0.2591,,12,10.0,unknown,True
16003,Edgar 1987,10mg-PO IR tablet,0.5,1.9256,,12,10.0,unknown,True
16003,Edgar 1987,10mg-PO IR tablet,0.745086712698096,3.5087,,12,10.0,unknown,True
16003,Edgar 1987,10mg-PO IR tablet,1.0,3.8418,,12,10.0,unknown,True
16003,Edgar 1987,10mg-PO IR tablet,1.49651109740987,3.4803,,12,10.0,unknown,True
16003,Edgar 1987,10mg-PO IR tablet,2.00027114296189,2.7392,,12,10.0,unknown,True
16003,Edgar 1987,10mg-PO IR tablet,3.0,2.0533,,12,10.0,unknown,True
16003,Edgar 1987,10mg-PO IR tablet,4.0,1.4321,,12,10.0,unknown,True
16003,Edgar 1987,10mg-PO IR tablet,4.99796171225601,1.2276,,12,10.0,unknown,True
16003,Edgar 1987,10mg-PO IR tablet,6.0,0.9491,,12,10.0,unknown,True
16003,Edgar 1987,10mg-PO IR tablet,6.99923726305936,0.7816,,12,10.0,unknown,True
16003,Edgar 1987,10mg-PO IR tablet,8.0,0.716,,12,10.0,unknown,True
16003,Edgar 1987,10mg-PO IR tablet,10.0,0.659,,12,10.0,unknown,True
16003,Edgar 1987,10mg-PO IR tablet,12.0,0.6759,,12,10.0,unknown,True
16004,Edgar 1987,10mg-PO ER tablet,0.33,0.0,,12,10.0,unknown,True
16004,Edgar 1987,10mg-PO ER tablet,0.67,0.3884,,12,10.0,unknown,True
16004,Edgar 1987,10mg-PO ER tablet,1.0,1.027,,12,10.0,unknown,True
16004,Edgar 1987,10mg-PO ER tablet,1.5,1.4155,,12,10.0,unknown,True
16004,Edgar 1987,10mg-PO ER tablet,2.0,1.6929,,12,10.0,unknown,True
16004,Edgar 1987,10mg-PO ER tablet,3.0,2.0995,,12,10.0,unknown,True
16004,Edgar 1987,10mg-PO ER tablet,4.0,2.4228,,12,10.0,unknown,True
16004,Edgar 1987,10mg-PO ER tablet,5.5,2.0513,,12,10.0,unknown,True
16004,Edgar 1987,10mg-PO ER tablet,7.0,1.7816,,12,10.0,unknown,True
16004,Edgar 1987,10mg-PO ER tablet,8.5,1.4286,,12,10.0,unknown,True
16004,Edgar 1987,10mg-PO ER tablet,10.0,1.2238,,12,10.0,unknown,True
16004,Edgar 1987,10mg-PO ER tablet,12.0,1.0463,,12,10.0,unknown,True
16005,Bailey 1996,"Erythromycin DDI, control group",0.0,0.0,,12,10.0,fasted,True
16005,Bailey 1996,"Erythromycin DDI, control group",0.5,0.15,,12,10.0,fasted,True
16005,Bailey 1996,"Erythromycin DDI, control group",1.0,1.3425,1.2311,12,10.0,fasted,True
16005,Bailey 1996,"Erythromycin DDI, control group",1.5,2.1876,1.3952,12,10.0,fasted,True
16005,Bailey 1996,"Erythromycin DDI, control group",2.0,2.3139,1.5594,12,10.0,fasted,True
16005,Bailey 1996,"Erythromycin DDI, control group",2.5,2.4561,1.2037,12,10.0,fasted,True
16005,Bailey 1996,"Erythromycin DDI, control group",3.0,2.8115,1.4499,12,10.0,fasted,True
16005,Bailey 1996,"Erythromycin DDI, control group",4.0,2.3534,1.2858,12,10.0,fasted,True
16005,Bailey 1996,"Erythromycin DDI, control group",5.0,2.2192,1.6414,12,10.0,fasted,True
16005,Bailey 1996,"Erythromycin DDI, control group",6.0,1.9269,1.6141,12,10.0,fasted,True
16005,Bailey 1996,"Erythromycin DDI, control group",8.0,1.1451,1.0943,12,10.0,fasted,True
16005,Bailey 1996,"Erythromycin DDI, control group",24.0,0.1816,,12,10.0,fasted,True
16006,Jalava 1997,"Itraconazole DDI, control group",0.0,0.0,,9,5.0,fasted,True
16006,Jalava 1997,"Itraconazole DDI, control group",0.5,0.1386,,9,5.0,fasted,True
16006,Jalava 1997,"Itraconazole DDI, control group",1.0,0.6022,,9,5.0,fasted,True
16006,Jalava 1997,"Itraconazole DDI, control group",1.5,0.7608,,9,5.0,fasted,True
16006,Jalava 1997,"Itraconazole DDI, control group",2.0,0.9616,,9,5.0,fasted,True
16006,Jalava 1997,"Itraconazole DDI, control group",3.0,0.9741,,9,5.0,fasted,True
16006,Jalava 1997,"Itraconazole DDI, control group",4.0,0.955,,9,5.0,fasted,True
16006,Jalava 1997,"Itraconazole DDI, control group",6.0,1.0641,,9,5.0,fasted,True
16006,Jalava 1997,"Itraconazole DDI, control group",8.0,0.8578,,9,5.0,fasted,True
16006,Jalava 1997,"Itraconazole DDI, control group",12.0,0.7395,,9,5.0,fasted,True
16006,Jalava 1997,"Itraconazole DDI, control group",24.0,0.4583,,9,5.0,fasted,True
16006,Jalava 1997,"Itraconazole DDI, control group",32.0,0.2217,,9,5.0,fasted,True
16007,Blychert 1990,Study I-10mg-PO solution,120.0,1.5229,1.883,18,10.0,unknown,True
16007,Blychert 1990,Study I-10mg-PO solution,120.5,10.6559,6.1874,18,10.0,unknown,True
16007,Blychert 1990,Study I-10mg-PO solution,120.75,9.1479,4.7887,18,10.0,unknown,True
16007,Blychert 1990,Study I-10mg-PO solution,121.0,7.1959,4.0353,18,10.0,unknown,True
16007,Blychert 1990,Study I-10mg-PO solution,121.5,5.207,3.7125,18,10.0,unknown,True
16007,Blychert 1990,Study I-10mg-PO solution,122.0,4.4482,3.5512,18,10.0,unknown,True
16007,Blychert 1990,Study I-10mg-PO solution,123.0,3.4125,2.9054,18,10.0,unknown,True
16007,Blychert 1990,Study I-10mg-PO solution,124.0,2.6938,1.9365,18,10.0,unknown,True
16007,Blychert 1990,Study I-10mg-PO solution,125.0,2.0513,1.3988,18,10.0,unknown,True
16007,Blychert 1990,Study I-10mg-PO solution,126.0,1.8526,,18,10.0,unknown,True
16007,Blychert 1990,Study I-10mg-PO solution,127.0,1.6539,,18,10.0,unknown,True
16007,Blychert 1990,Study I-10mg-PO solution,128.0,1.4552,,18,10.0,unknown,True
16007,Blychert 1990,Study I-10mg-PO solution,130.0,1.1594,,18,10.0,unknown,True
16007,Blychert 1990,Study I-10mg-PO solution,132.0,1.0664,,18,10.0,unknown,True
16008,Blychert 1990,Study I-10mg-PO IR tablet-trial,120.0,1.4975,,18,10.0,unknown,True
16008,Blychert 1990,Study I-10mg-PO IR tablet-trial,120.5,3.719,3.0668,18,10.0,unknown,True
16008,Blychert 1990,Study I-10mg-PO IR tablet-trial,120.75,6.2438,4.2503,18,10.0,unknown,True
16008,Blychert 1990,Study I-10mg-PO IR tablet-trial,121.0,6.2448,4.8425,18,10.0,unknown,True
